SA,,TPV,,MPV
1,281.6,0.71,0.32
1,012.6,0.56,0.22
1,408.8,0.83,0.36
1,403.9,0.85,0.33
841.3,0.36
667.4,0.29
645,0.26,0.25
750,0.30,0.29
1,259,0.52,0.49
1,476,0.61,0.60
1,692,0.71,0.68
2,337,1.15,0.85
1,409,0.69,0.51
1,340,0.66,0.49
5.4,0.00
207,0.16
550,0.37
692,0.43
930,0.54
1,728.66,0.70,0.67
2,279.52,0.99,0.91
2,330.89,1.91,0.98
2,112,0.94,0.86
3,255,1.65,1.29
3,337,2.05,0.54
1,634,0.76,0.56
2,367,1.15,0.83
2,844,1.63,0.89
232,0.11,0.09
332,0.16,0.12
937,0.40,0.38
1,214,0.53,0.48
1,460,0.63,0.53
1,049,0.69,0.43
1,248,0.68,0.52
1,898,1.52,0.43
1,790,1.21,0.48
2,424,1.38,0.51
2,358,1.85,0.49
1,829,1.25,0.49
1,684,1.43,0.48
660,0.28,0.24
1,076,0.44,0.38
1,268,0.55,0.50
1,480,0.71,0.48
1,161,0.38,0.35
1,804,0.85,0.66
1,857,0.87,0.48
972,0.49,0.39
1,515,0.90,0.62
1,815,1.02,0.74
2,305,1.12,0.93
909,0.44,0.32
1,260,0.81,0.56
3,072,1.77,0.78
2,730,1.84,1.12
654,0.46,0.36
473,0.20,0.17
593,0.25,0.21
217,0.12,0.13
721,0.35,0.29
1,146,0.55,0.47
1,446,0.68,0.49
1,736,0.87,0.36
955,0.43,0.31
1,539,0.72,0.48
2,442,1.56,0.86
2,225,1.11,0.49
1,543,0.71,0.61
2,201,1.31,0.69
2,170,1.27,0.66
1,630,0.69,0.60
2,132,1.13,0.70
1,862,0.81,0.69
637,0.35,0.25
1,122,0.59,0.50
849,0.50,0.31
1,019,0.71,0.10
1,107,0.79,0.13
1,139,1.26,0.24
2,091,0.87,0.65
2,893,1.59,0.70
1,511,0.65,0.54
1,830,0.78,0.67
2,163,0.93,0.74
2,163,0.93,0.74
2.48
46.3
374,0.19,0.11
538,0.24,0.18
1,032,0.49,0.35
864,0.41,0.28
1,439,0.67,0.49
704,0.29,0.24
1,101,0.54,0.38
1,305,0.53,0.45
1,671,0.67,0.59
585,0.28,0.20
1,379,0.58,0.51
1,593,0.74,0.54
1,048,0.51,0.43
1,512,0.74,0.62
2,735,1.47,0.94
2,396,1.15,0.96
3,144,1.56,1.23
2,957,1.72,0.75
1,150,0.56,0.47
1,353,0.67,0.56
1,917,0.99,0.75
2,345,1.20,0.89
2,983,1.50,1.14
3,537,1.85,1.21
1,163,0.23,0.10
2,239,0.88,0.19
1,720,0.56,0.15
1,322,0.78,0.23
2,510,1.05,0.55
2,100,0.78,0.29
1,175,0.55,0.49
2,064,0.98,0.87
252,0.14
358,0.17
1,384,0.63
2,290,1.19
1,714,0.83
1,636,0.51
1,957,0.79
1,294,0.63
714,0.40
774,0.41,0.30
1,041,0.53,0.42
1,199,0.60,0.48
2,695,1.14,1.11
1,713,0.73,0.73
1,893,0.79,0.78
1,871,0.80,0.79
1,473,0.60,0.57
1,913,0.78,0.74
1,698,0.70,0.62
1,123,0.47,0.43
1,976,0.86,0.77
2,356,1.26,0.86
837,0.38,0.32
2,571,1.15,1.02
3,322,2.31,0.89
966,0.40
1,004,0.43
1,486,0.64
1,682,0.70
1,944,0.81
459,0.20
1,343,0.56
1,637,0.71
2,207,1.23
469
489
606
425
514
605
441
512
573
434
524
633
124
224.1
422.8
302.7
328.2
644.9
186
397.3
1,076.3
671,0.43
886,0.57
1,033,0.69
858,0.57
1,142,0.85
1,316,1.14
1,005,0.49,0.40
910,0.44,0.36
1,239,0.61,0.48
1,500,0.74,0.53
1,830,0.91,0.42
1,448,0.71,0.55
1,423,0.71,0.53
502,0.22
1,991,0.88
1,833,0.80
1,099,0.45
1,821,0.79
2,185,0.99
1,343,0.55
2,318,1.03
2,321,1.11
759,0.44,0.33
1,606,0.97,0.78
1,741,0.86,0.80
1,636,0.74,0.68
2,251,1.21,1.03
3,079,1.84,1.18
2,354,1.26,0.97
2,556,1.90,0.96
1,000,0.68,0.53
1,636,0.74,0.68
2,354,1.26,0.97
1,144,0.64,0.48
1,813,1.05,0.70
273,0.19,0.13
481,0.27,0.24
419,0.25,0.19
589,0.34,0.27
802,0.47,0.37
516,0.28,0.20
1,687,0.94,0.77
1,721,0.92,0.75
1,065,0.47,0.39
1,188,0.52,0.44
1,055,0.46,0.39
706,0.33,0.25
669,0.31
1,450,0.61
1,310,0.65
1,036,0.44
2,412,1.14
2,596,1.42
1,416,0.58
2,615,1.38
2,446,1.59
852,0.38,0.31
1,185,0.52,0.43
694,0.37,0.25
699,0.49,0.16
586,0.31,0.19
2,998,1.78,1.22
3,277,1.94,1.37
3,401,2.50,1.87
3,138,2.43,1.33
947,0.35
1,082,0.39
1,324,0.51
1,199,0.47
1,354,0.58
1,329,0.56
1,430,0.65
1,023,0.38
1,383,0.56
1,604,0.65
1,178,0.49
1,535,0.60
1,687,0.67
1,550,0.62
1,596,0.64
1,937,0.78
1,012,0.44
879,0.38
1,135,0.62
1,850,0.87
1,562,0.75
1,483,0.66
1,487,0.79
2,322,1.06
2,521,1.34
2,349,0.99
1,967,0.94
2,690,1.19
2,599,1.33
2,251,1.04,0.93
1,890,0.87,0.80
1,463,0.74,0.58
1,827,0.96,0.73
1,529,0.98
2,209,1.30
3,260,2.60
2,734,2.30
956,0.48,0.31
1,258,0.61,0.40
1,697,0.82,0.37
1,987,1.02,0.26
990,0.42,0.31
1,428,0.65,0.29
1,675,0.96,0.06
2,086,1.08,0.16
1,216,0.53,0.35
1,446,0.63,0.37
1,952,1.11,0.04
2,305,1.23,0.13
660,0.42,0.33
846,0.94,0.40
1,176,0.72,0.57
2,113,1.24,0.94
1,508,0.94,0.68
2,148,1.32,0.94
748,0.47,0.27
697,0.46,0.25
581,0.35,0.21
1,361.9,0.58,0.46
1,005.4,0.41,0.34
1,455.1,0.68,0.47
1,248.7,0.50,0.41
1,272.4,0.55,0.43
821,0.42
1,267,0.54
1,398,0.60
1,412,0.63
1,734,0.78
1,960,0.90
2,167,0.96
2,016,0.94
2,394,1.13
2,659,1.32
2,655,1.40
2,470,1.30
1,210,0.69
1,780,1.35
2,136,1.43
3,247,3.09
933,0.45
1,005,0.46
1,170,0.53
1,754,0.83
1,699,0.89
1,824,0.92
2,572,1.43
2,510,1.54
2,827,1.55
1,210,0.69
1,780,1.35
2,136,1.43
3,247,3.09
1,082,0.58,0.44
1,793,0.87,0.73
2,328,1.11,0.94
2,958,1.61,1.16
3,020,1.89
3,064,1.56
3,021,1.58
2,473,1.26
1,788,0.91,0.49
2,957,1.79,0.56
1,075,0.75,0.21
2,922,1.36,1.22
2,779,1.39,1.10
1,631,0.83,0.60
32,0.02
851,0.44
927,0.48
1,113,0.57
1,024,0.53
945,0.49
