"SBETa
(m2/g)","Vbtoal(cm3/g)","Vcmicro(cm3/g)",C,H,N,O *,adb
"1,281.60",0.71,0.32,69.22,3.99,0.08,26.3,2.63
0.56,0.22,64.83,3.64,0.38,30.77,2.59,
0.83,0.36,72.41,3.63,0.01,23.59,2.92,
0.85,0.33,69.51,4.35,0.76,24.94,2.44,
0.36,,,,,,3.23,
667.4,0.29,,,,,,2.73
645,0.26,0.25,70.86,1.71,3.19,14.72,3.45
750,0.3,0.29,83.88,1.63,3.27,5.3,3.65
"1,259",0.52,0.49,87.56,1.06,1.87,0.23,4.33
"1,476",0.61,0.6,91.62,0.8,1.67,0,4.54
"1,692",0.71,0.68,94.51,0.58,1.51,0,4.46
"2,337",1.15,0.85,82.66,0.59,1.55,0,3.78
"1,409",0.69,0.51,,,,,
"1,340",0.66,0.49,,,,,
5.4,0,,,,,,0.74
207,0.16,,,,,,1.43
550,0.37,,,,,,1.68
692,0.43,,,,,,1.59
930,0.54,,,,,,1.57
"1,728.66",0.7,0.67,93.4,0.73,0.89,6.79,4.21
"2,279.52",0.99,0.91,96.96,0.18,0.99,4.51,3.46
"2,330.89",1.91,0.98,87.57,0.17,1.3,7.35,2.45
"2,112",0.94,0.86,,,,,4.18
"3,255",1.65,1.29,,,,,3.35
"3,337",2.05,0.54,,,,,2.9
"1,634",0.76,0.56,,,,,4.14
"2,367",1.15,0.83,,,,,4.36
"2,844",1.63,0.89,,,,,3.65
232,0.11,0.09,80.82,,2.34,15.36,1.77
332,0.16,0.12,76.25,,1.89,21.86,2.1
937,0.4,0.38,77.57,,1.54,20.89,3.38
"1,214",0.53,0.48,79.37,,1.18,19.45,3.4
"1,460",0.63,0.53,93.1,,0.31,6.59,3.42
"1,049",0.69,0.43,,,,,3.8
"1,248",0.68,0.52,,,,,4.1
"1,898",1.52,0.43,,,,,2.44
"1,790",1.21,0.48,,,,,2.71
"2,424",1.38,0.51,,,,,2.67
"2,358",1.85,0.49,,,,,2.92
"1,829",1.25,0.49,,,,,3.13
"1,684",1.43,0.48,,,,,2.75
660,0.28,0.24,83.48,,3.53,12.98,2.94
,,,,,,,
,,,,,,,
,,,,,,,
0.44,0.38,84.57,3.03,9.46,4.11,6.02,1.64
,,,,,,,
,,,,,,,
