iter	RMSE
0	1.421300517
1	1.406624215
2	1.395148792
3	1.383311789
4	1.377510546
5	1.36528281
6	1.353455294
7	1.345959303
8	1.338008481
9	1.325402231
10	1.314776119
11	1.303469809
12	1.291726307
13	1.279252615
14	1.273065644
15	1.262534695
16	1.250793202
17	1.241271081
18	1.235387027
19	1.222489081
20	1.211040827
21	1.204985405
22	1.199273836
23	1.190835398
24	1.187059464
25	1.178488087
26	1.167861181
27	1.160351751
28	1.151656005
29	1.144164413
30	1.138076709
31	1.129800943
32	1.120385183
33	1.112314
34	1.105436371
35	1.101403501
36	1.090035845
37	1.082689046
38	1.073714613
39	1.069811947
40	1.064815912
41	1.056167021
42	1.048520222
43	1.041028251
44	1.033074827
45	1.025919414
46	1.016582675
47	1.008180189
48	1.000216344
49	0.9950285897
50	0.9910313972
51	0.9853492892
52	0.9794893405
53	0.9730445705
54	0.9656725411
55	0.9601327564
56	0.9547819411
57	0.9484719793
58	0.9414839011
59	0.9352171559
60	0.9308666219
61	0.9284207918
62	0.9235350914
63	0.9205478153
64	0.9187449953
65	0.9157816645
66	0.9111622494
67	0.9085913782
68	0.9038560335
69	0.9010314748
70	0.8987542686
71	0.8940185663
72	0.8914248259
73	0.8857689317
74	0.8818055726
75	0.876265007
76	0.8727097105
77	0.8672242921
78	0.8650670475
79	0.8616691711
80	0.8587570326
81	0.8571828132
82	0.8516877297
83	0.8497409075
84	0.8447600394
85	0.841104112
86	0.8376801959
87	0.8353618201
88	0.8330093097
89	0.8291254871
90	0.8256959057
91	0.8223717906
92	0.8184365001
93	0.8157300675
94	0.8109148542
95	0.8080573658
96	0.8035061188
97	0.8008798909
98	0.7974129667
99	0.7939613524
100	0.7904519719
101	0.7870132125
102	0.7840902306
103	0.7809354207
104	0.7789351473
105	0.7770482694
106	0.7751837803
107	0.7700391052
108	0.7687221117
109	0.7661264286
110	0.7618086367
111	0.7592737765
112	0.7564155614
113	0.7546912885
114	0.7517568295
115	0.7499881122
116	0.747584809
117	0.7453834644
118	0.7413531965
119	0.7388631275
120	0.7357852841
121	0.734480187
122	0.7310498142
123	0.7287523936
124	0.7269767925
125	0.7244256798
126	0.7209126459
127	0.7172816542
128	0.715265873
129	0.7119978481
130	0.7102071811
131	0.7084382964
132	0.7073472174
133	0.7057670946
134	0.7033764741
135	0.6995684897
136	0.6976687587
137	0.6957638044
138	0.6942700163
139	0.6918772633
140	0.6904851016
141	0.688575465
142	0.6866133057
143	0.6857122375
144	0.6841663205
145	0.682202539
146	0.6800084317
147	0.6775727801
148	0.674739484
149	0.6738276576
150	0.6718130797
151	0.6699143117
152	0.6690478189
153	0.6664473355
154	0.6638467866
155	0.6628752689
156	0.6612741048
157	0.6594774597
158	0.6572519895
159	0.6563297205
160	0.6555560035
161	0.6542492207
162	0.651226634
163	0.6502024478
164	0.6489253764
165	0.6480853817
