iter	Passed	Remaining
0	2	2549
1	4	2047
2	5	1774
3	6	1620
4	7	1533
5	8	1485
6	10	1456
7	11	1430
8	12	1425
9	14	1401
10	15	1373
11	16	1357
12	17	1365
13	19	1391
14	20	1360
15	22	1375
16	23	1376
17	25	1372
18	26	1367
19	28	1373
20	29	1365
21	30	1345
22	31	1345
23	33	1366
24	35	1373
25	36	1380
26	38	1395
27	40	1398
28	41	1400
29	43	1412
30	45	1420
31	47	1433
32	49	1442
33	51	1452
34	53	1461
35	54	1454
36	55	1443
37	56	1436
38	57	1427
39	59	1417
40	60	1416
41	61	1412
42	63	1412
43	65	1413
44	67	1430
45	69	1431
46	70	1430
47	71	1426
48	74	1445
49	75	1432
50	76	1426
51	78	1433
52	80	1439
53	82	1445
54	84	1446
55	86	1451
56	87	1448
57	88	1442
58	90	1436
59	91	1432
60	92	1426
61	93	1418
62	95	1413
63	96	1411
64	97	1407
65	99	1403
66	100	1399
67	101	1391
68	102	1385
69	103	1378
70	104	1371
71	106	1366
72	107	1363
73	108	1362
74	110	1365
75	112	1366
76	115	1385
77	116	1375
78	118	1375
79	119	1374
80	121	1374
81	122	1372
82	123	1369
83	125	1369
84	127	1368
85	128	1365
86	129	1361
87	130	1355
88	131	1349
89	133	1346
90	134	1341
91	135	1336
92	136	1330
93	137	1324
94	138	1318
95	139	1312
96	140	1306
97	141	1300
98	142	1294
99	143	1287
100	144	1281
101	144	1275
102	145	1268
103	146	1262
104	147	1256
105	148	1249
106	148	1242
107	149	1236
108	150	1229
109	151	1223
110	151	1216
111	152	1208
112	153	1201
113	153	1194
114	154	1187
115	154	1180
116	155	1173
117	156	1167
118	157	1162
119	157	1156
120	158	1149
121	158	1142
122	159	1135
123	159	1129
124	160	1122
125	160	1116
126	161	1109
127	161	1103
128	162	1096
129	162	1090
130	163	1085
131	164	1079
132	164	1073
133	165	1068
134	165	1062
135	166	1056
136	166	1051
137	167	1045
138	167	1040
139	168	1034
140	168	1028
141	169	1023
142	169	1018
143	170	1013
144	170	1008
145	171	1003
146	172	998
147	172	992
148	173	988
149	173	984
150	174	979
151	174	974
152	174	968
153	175	963
154	175	958
155	176	952
156	176	947
157	176	942
158	177	937
159	177	932
160	178	928
161	178	923
162	178	919
163	179	914
164	179	910
165	180	905
166	180	901
167	181	897
168	181	893
169	182	888
170	182	884
171	182	880
172	183	875
173	183	871
174	184	867
175	184	863
176	184	859
177	185	855
